Time,date,Year,Delma,RasGhanada,Saadiyat,AlAqah,Dibba,month,season,yearday
1992OCT24,24/10/92,1992,0.049,0.06,0.049,0.103,0.075,OCT,fall,
1992OCT25,25/10/92,1992,0.006,0.092,0.066,0.109,0.076,OCT,fall,
1992OCT26,26/10/92,1992,0.014,0.112,0.066,0.065,0.037,OCT,fall,
1992OCT27,27/10/92,1992,0.039,0.08,0.022,0.043,0.029,OCT,fall,
1992OCT28,28/10/92,1992,0.045,0.049,0.032,0.062,0.049,OCT,fall,
1992OCT29,29/10/92,1992,0.026,0.057,0.019,0.057,0.042,OCT,fall,
1992OCT30,30/10/92,1992,0.036,0.012,0.037,0.025,0.013,OCT,fall,
1992OCT31,31/10/92,1992,0.041,0.031,0.065,0.051,0.041,OCT,fall,
1992NOV01,1/11/92,1992,0.032,0.045,0.074,0.049,0.043,NOV,fall,
1992NOV02,2/11/92,1992,0.063,0.081,0.117,0.003,0.014,NOV,fall,
1992NOV03,3/11/92,1992,0.061,0.121,0.128,0.036,0.021,NOV,fall,
1992NOV04,4/11/92,1992,0.069,0.121,0.119,0.071,0.054,NOV,fall,
1992NOV05,5/11/92,1992,0.059,0.113,0.117,0.063,0.045,NOV,fall,
1992NOV06,6/11/92,1992,0.053,0.088,0.106,0.048,0.043,NOV,fall,
1992NOV07,7/11/92,1992,0.065,0.123,0.114,0.025,0.03,NOV,fall,
1992NOV08,8/11/92,1992,0.08,0.158,0.13,0.087,0.096,NOV,fall,
1992NOV09,9/11/92,1992,0.064,0.168,0.13,0.081,0.102,NOV,fall,
1992NOV10,10/11/92,1992,0.046,0.121,0.089,0.076,0.103,NOV,fall,
1992NOV11,11/11/92,1992,0.064,0.134,0.104,0.124,0.151,NOV,fall,
1992NOV12,12/11/92,1992,0.048,0.15,0.108,0.118,0.132,NOV,fall,
1992NOV13,13/11/92,1992,0.052,0.15,0.121,0.037,0.047,NOV,fall,
1992NOV14,14/11/92,1992,0.031,0.135,0.099,0.071,0.073,NOV,fall,
1992NOV15,15/11/92,1992,0.031,0.077,0.062,0.095,0.081,NOV,fall,
1992NOV16,16/11/92,1992,0.053,0.103,0.091,0.119,0.117,NOV,fall,
1992NOV17,17/11/92,1992,0.1,0.237,0.144,0.118,0.111,NOV,fall,
1992NOV18,18/11/92,1992,0.145,0.098,0.079,0.2,0.193,NOV,fall,
1992NOV19,19/11/92,1992,0.057,0.08,0.069,0.171,0.148,NOV,fall,
1992NOV20,20/11/92,1992,0.06,0.053,0.026,0.023,0.026,NOV,fall,
1992NOV21,21/11/92,1992,0.047,0.062,0.013,0.04,0.043,NOV,fall,
1992NOV22,22/11/92,1992,0.028,0.026,0.049,0.087,0.068,NOV,fall,
1992NOV23,23/11/92,1992,0.05,0.087,0.081,0.053,0.034,NOV,fall,
1992NOV24,24/11/92,1992,0.063,0.15,0.123,0.051,0.03,NOV,fall,
1992NOV25,25/11/92,1992,0.061,0.137,0.103,0.057,0.047,NOV,fall,
1992NOV26,26/11/92,1992,0.068,0.095,0.075,0.05,0.044,NOV,fall,
1992NOV27,27/11/92,1992,0.113,0.198,0.179,0.091,0.095,NOV,fall,
1992NOV28,28/11/92,1992,0.098,0.165,0.093,0.027,0.023,NOV,fall,
1992NOV29,29/11/92,1992,0.076,0.112,0.073,0.1,0.097,NOV,fall,
1992NOV30,30/11/92,1992,0.064,0.04,0.007,0.024,0.03,NOV,fall,
1992DEC01,1/12/92,1992,0.063,0.025,0.02,0.062,0.072,DEC,winter,
1992DEC02,2/12/92,1992,0.051,0.063,0.052,0.036,0.041,DEC,winter,
1992DEC03,3/12/92,1992,0.057,0.084,0.072,0.04,0.019,DEC,winter,
1992DEC04,4/12/92,1992,0.091,0.068,0.064,0.06,0.039,DEC,winter,
1992DEC05,5/12/92,1992,0.126,0.182,0.138,0.043,0.039,DEC,winter,
1992DEC06,6/12/92,1992,0.058,0.186,0.116,0.048,0.04,DEC,winter,
1992DEC07,7/12/92,1992,0.036,0.116,0.046,0.042,0.04,DEC,winter,
1992DEC08,8/12/92,1992,0.041,0.031,0.045,0.036,0.021,DEC,winter,
1992DEC09,9/12/92,1992,0.112,0.114,0.102,0.105,0.076,DEC,winter,
1992DEC10,10/12/92,1992,0.106,0.242,0.17,0.086,0.095,DEC,winter,
1992DEC11,11/12/92,1992,0.143,0.184,0.146,0.024,0.019,DEC,winter,
1992DEC12,12/12/92,1992,0.059,0.019,0.01,0.104,0.097,DEC,winter,
1992DEC13,13/12/92,1992,0.038,0.029,0.017,0.024,0.006,DEC,winter,
1992DEC14,14/12/92,1992,0.065,0.015,0.039,0.005,0.027,DEC,winter,
1992DEC15,15/12/92,1992,0.088,0.172,0.117,0.022,0.039,DEC,winter,
1992DEC16,16/12/92,1992,0.076,0.157,0.095,0.031,0.049,DEC,winter,
1992DEC17,17/12/92,1992,0.03,0.146,0.083,0.035,0.027,DEC,winter,
1992DEC18,18/12/92,1992,0.016,0.064,0.038,0.052,0.033,DEC,winter,
1992DEC19,19/12/92,1992,0.087,0.109,0.085,0.045,0.025,DEC,winter,
1992DEC20,20/12/92,1992,0.069,0.12,0.073,0.004,0.022,DEC,winter,
1992DEC21,21/12/92,1992,0.105,0.076,0.07,0.093,0.103,DEC,winter,
1992DEC22,22/12/92,1992,0.053,0.039,0.054,0.018,0.039,DEC,winter,
1992DEC23,23/12/92,1992,0.188,0.137,0.107,0.062,0.048,DEC,winter,
1992DEC24,24/12/92,1992,0.073,0.141,0.102,0.044,0.018,DEC,winter,
1992DEC25,25/12/92,1992,0.019,0.045,0.023,0.065,0.076,DEC,winter,
1992DEC26,26/12/92,1992,0.052,0.032,0.043,0.042,0.043,DEC,winter,
1992DEC27,27/12/92,1992,0.011,0.081,0.074,0.025,0.024,DEC,winter,
1992DEC28,28/12/92,1992,0.083,0.167,0.148,0.082,0.081,DEC,winter,
1992DEC29,29/12/92,1992,0.083,0.125,0.028,0.117,0.089,DEC,winter,
1992DEC30,30/12/92,1992,0.076,0.034,0.084,0.16,0.155,DEC,winter,
1992DEC31,31/12/92,1992,0.134,0.175,0.125,0.07,0.08,DEC,winter,
1993JAN01,1/1/93,1993,0.104,0.125,0.076,0.097,0.101,JAN,winter,1
1993JAN02,2/1/93,1993,0.049,0.113,0.076,0.137,0.131,JAN,winter,2
1993JAN03,3/1/93,1993,0.028,0.058,0.048,0.019,0.018,JAN,winter,3
1993JAN04,4/1/93,1993,0.026,0.065,0.065,0.085,0.099,JAN,winter,4
1993JAN05,5/1/93,1993,0.055,0.088,0.027,0.099,0.115,JAN,winter,5
1993JAN06,6/1/93,1993,0.033,0.068,0.052,0.003,0.004,JAN,winter,6
1993JAN07,7/1/93,1993,0.094,0.132,0.078,0.028,0.041,JAN,winter,7
1993JAN08,8/1/93,1993,0.116,0.111,0.068,0.033,0.052,JAN,winter,8
1993JAN09,9/1/93,1993,0.053,0.01,0.047,0.058,0.074,JAN,winter,9
1993JAN10,10/1/93,1993,0.107,0.148,0.13,0.009,0.014,JAN,winter,10
1993JAN11,11/1/93,1993,0.077,0.071,0.043,0.046,0.078,JAN,winter,11
1993JAN12,12/1/93,1993,0.064,0.017,0.029,0.063,0.084,JAN,winter,12
1993JAN13,13/1/93,1993,0.022,0.08,0.103,0.043,0.029,JAN,winter,13
1993JAN14,14/1/93,1993,0.228,0.296,0.235,0.152,0.128,JAN,winter,14
1993JAN15,15/1/93,1993,0.224,0.384,0.256,0.08,0.018,JAN,winter,15
1993JAN16,16/1/93,1993,0.139,0.23,0.193,0.111,0.136,JAN,winter,16
1993JAN17,17/1/93,1993,0.069,0.092,0.107,0.041,0.045,JAN,winter,17
1993JAN18,18/1/93,1993,0.168,0.275,0.211,0.193,0.17,JAN,winter,18
1993JAN19,19/1/93,1993,0.133,0.217,0.175,0.058,0.11,JAN,winter,19
1993JAN20,20/1/93,1993,0.053,0.112,0.089,0.203,0.194,JAN,winter,20
1993JAN21,21/1/93,1993,0.124,0.197,0.149,0.05,0.035,JAN,winter,21
1993JAN22,22/1/93,1993,0.071,0.151,0.109,0.008,0.034,JAN,winter,22
1993JAN23,23/1/93,1993,0.061,0.14,0.083,0.042,0.077,JAN,winter,23
1993JAN24,24/1/93,1993,0.106,0.222,0.165,0.026,0.06,JAN,winter,24
1993JAN25,25/1/93,1993,0.097,0.235,0.176,0.115,0.146,JAN,winter,25
1993JAN26,26/1/93,1993,0.075,0.153,0.12,0.116,0.14,JAN,winter,26
1993JAN27,27/1/93,1993,0.047,0.128,0.105,0.078,0.114,JAN,winter,27
1993JAN28,28/1/93,1993,0.03,0.138,0.103,0.091,0.141,JAN,winter,28
1993JAN29,29/1/93,1993,0.04,0.095,0.077,0.119,0.164,JAN,winter,29
1993JAN30,30/1/93,1993,0.011,0.031,0.028,0.127,0.161,JAN,winter,30
1993JAN31,31/1/93,1993,0.05,0.065,0.019,0.169,0.191,JAN,winter,31
1993FEB01,1/2/93,1993,0.051,0.095,0.021,0.235,0.269,FEB,winter,32
1993FEB02,2/2/93,1993,0.075,0.155,0.051,0.211,0.243,FEB,winter,33
1993FEB03,3/2/93,1993,0.095,0.149,0.061,0.237,0.271,FEB,winter,34
1993FEB04,4/2/93,1993,0.051,0.068,0.113,0.131,0.156,FEB,winter,35
1993FEB05,5/2/93,1993,0.097,0.297,0.255,0.241,0.272,FEB,winter,36
1993FEB06,6/2/93,1993,0.187,0.069,0.078,0.114,0.11,FEB,winter,37
1993FEB07,7/2/93,1993,0.21,0.118,0.107,0.125,0.109,FEB,winter,38
1993FEB08,8/2/93,1993,0.101,0.165,0.142,0.117,0.105,FEB,winter,39
1993FEB09,9/2/93,1993,0.049,0.153,0.118,0.162,0.159,FEB,winter,40
1993FEB10,10/2/93,1993,0.005,0.087,0.058,0.133,0.13,FEB,winter,41
1993FEB11,11/2/93,1993,0.02,0.024,0.036,0.089,0.09,FEB,winter,42
1993FEB12,12/2/93,1993,0.026,0.066,0.024,0.11,0.12,FEB,winter,43
1993FEB13,13/2/93,1993,0.011,0.091,0.046,0.119,0.129,FEB,winter,44
1993FEB14,14/2/93,1993,0.027,0.067,0.03,0.126,0.136,FEB,winter,45
1993FEB15,15/2/93,1993,0.057,0.133,0.087,0.102,0.086,FEB,winter,46
1993FEB16,16/2/93,1993,0.172,0.039,0.117,0.078,0.074,FEB,winter,47
1993FEB17,17/2/93,1993,0.166,0.222,0.185,0.121,0.14,FEB,winter,48
1993FEB18,18/2/93,1993,0.126,0.216,0.151,0.15,0.155,FEB,winter,49
1993FEB19,19/2/93,1993,0.014,0.086,0.073,0.21,0.196,FEB,winter,50
1993FEB20,20/2/93,1993,0.042,0.051,0.039,0.129,0.087,FEB,winter,51
1993FEB21,21/2/93,1993,0.068,0.116,0.069,0.102,0.074,FEB,winter,52
1993FEB22,22/2/93,1993,0.058,0.069,0.004,0.129,0.115,FEB,winter,53
1993FEB23,23/2/93,1993,0.033,0.031,0.025,0.028,0.036,FEB,winter,54
1993FEB24,24/2/93,1993,0.166,0.301,0.215,0.091,0.073,FEB,winter,55
1993FEB25,25/2/93,1993,0.208,0.252,0.208,0.016,0.027,FEB,winter,56
1993FEB26,26/2/93,1993,0.072,0.129,0.12,0.093,0.086,FEB,winter,57
1993FEB27,27/2/93,1993,0.075,0.168,0.139,0.026,0.024,FEB,winter,58
1993FEB28,28/2/93,1993,0.037,0.117,0.081,0.047,0.036,FEB,winter,59
1993MAR01,1/3/93,1993,0.027,0.03,0.032,0.052,0.092,MAR,spring,60
1993MAR02,2/3/93,1993,0.028,0.033,0.028,0.032,0.03,MAR,spring,61
1993MAR03,3/3/93,1993,0.041,0.073,0.018,0.019,0.059,MAR,spring,62
1993MAR04,4/3/93,1993,0.035,0.034,0.039,0.171,0.234,MAR,spring,63
1993MAR05,5/3/93,1993,0.078,0.04,0.048,0.057,0.092,MAR,spring,64
1993MAR06,6/3/93,1993,0.088,0.062,0.04,0.159,0.197,MAR,spring,65
1993MAR07,7/3/93,1993,0.088,0.056,0.066,0.094,0.113,MAR,spring,66
1993MAR08,8/3/93,1993,0.109,0.093,0.041,0.13,0.154,MAR,spring,67
1993MAR09,9/3/93,1993,0.111,0.082,0.012,0.127,0.128,MAR,spring,68
1993MAR10,10/3/93,1993,0.114,0.011,0.046,0.154,0.147,MAR,spring,69
1993MAR11,11/3/93,1993,0.095,0.238,0.175,0.099,0.096,MAR,spring,70
1993MAR12,12/3/93,1993,0.063,0.039,0.031,0.103,0.098,MAR,spring,71
1993MAR13,13/3/93,1993,0.174,0.444,0.379,0.114,0.094,MAR,spring,72
1993MAR14,14/3/93,1993,0.157,0.253,0.207,0.035,0.062,MAR,spring,73
1993MAR15,15/3/93,1993,0.052,0.091,0.084,0.145,0.193,MAR,spring,74
1993MAR16,16/3/93,1993,0.013,0.049,0.036,0.031,0.07,MAR,spring,75
1993MAR17,17/3/93,1993,0.059,0.054,0.056,0.073,0.02,MAR,spring,76
1993MAR18,18/3/93,1993,0.038,0.095,0.047,0.091,0.139,MAR,spring,77
1993MAR19,19/3/93,1993,0.033,0.138,0.049,0.128,0.161,MAR,spring,78
1993MAR20,20/3/93,1993,0.06,0.073,0.003,0.098,0.106,MAR,spring,79
1993MAR21,21/3/93,1993,0.124,0.102,0.101,0.044,0.053,MAR,spring,80
1993MAR22,22/3/93,1993,0.188,0.248,0.188,0.117,0.155,MAR,spring,81
1993MAR23,23/3/93,1993,0.168,0.348,0.234,0.098,0.139,MAR,spring,82
1993MAR24,24/3/93,1993,0.18,0.314,0.256,0.203,0.229,MAR,spring,83
1993MAR25,25/3/93,1993,0.088,0.205,0.151,0.194,0.217,MAR,spring,84
1993MAR26,26/3/93,1993,0.023,0.076,0.053,0.095,0.086,MAR,spring,85
1993MAR27,27/3/93,1993,0.043,0.118,0.102,0.152,0.144,MAR,spring,86
1993MAR28,28/3/93,1993,0.023,0.098,0.086,0.17,0.165,MAR,spring,87
1993MAR29,29/3/93,1993,0.021,0.031,0.029,0.136,0.133,MAR,spring,88
1993MAR30,30/3/93,1993,0.026,0.043,0.038,0.126,0.114,MAR,spring,89
1993MAR31,31/3/93,1993,0.026,0.033,0.02,0.065,0.068,MAR,spring,90
1993APR01,1/4/93,1993,0.023,0.065,0.04,0.186,0.203,APR,spring,91
1993APR02,2/4/93,1993,0.015,0.049,0.016,0.217,0.232,APR,spring,92
1993APR03,3/4/93,1993,0.031,0.043,0.003,0.165,0.172,APR,spring,93
1993APR04,4/4/93,1993,0.027,0.05,0.02,0.191,0.192,APR,spring,94
1993APR05,5/4/93,1993,0.013,0.055,0.03,0.252,0.24,APR,spring,95
1993APR06,6/4/93,1993,0.042,0.066,0.066,0.198,0.177,APR,spring,96
1993APR07,7/4/93,1993,0.056,0.018,0.01,0.191,0.155,APR,spring,97
1993APR08,8/4/93,1993,0.031,0.121,0.069,0.182,0.172,APR,spring,98
1993APR09,9/4/93,1993,0.037,0.057,0.024,0.069,0.073,APR,spring,99
1993APR10,10/4/93,1993,0.003,0.049,0.013,0.13,0.141,APR,spring,100
1993APR11,11/4/93,1993,0.036,0.101,0.032,0.145,0.139,APR,spring,101
1993APR12,12/4/93,1993,0.14,0.204,0.111,0.124,0.11,APR,spring,102
1993APR13,13/4/93,1993,0.092,0.153,0.093,0.094,0.097,APR,spring,103
1993APR14,14/4/93,1993,0.154,0.187,0.086,0.079,0.099,APR,spring,104
1993APR15,15/4/93,1993,0.079,0.195,0.162,0.172,0.18,APR,spring,105
1993APR16,16/4/93,1993,0.034,0.048,0.085,0.232,0.224,APR,spring,106
1993APR17,17/4/93,1993,0.011,0.094,0.065,0.092,0.095,APR,spring,107
1993APR18,18/4/93,1993,0.028,0.136,0.074,0.031,0.058,APR,spring,108
1993APR19,19/4/93,1993,0.04,0.122,0.035,0.068,0.069,APR,spring,109
1993APR20,20/4/93,1993,0.061,0.116,0.033,0.101,0.099,APR,spring,110
1993APR21,21/4/93,1993,0.08,0.108,0.024,0.015,0.012,APR,spring,111
1993APR22,22/4/93,1993,0.108,0.142,0.029,0.051,0.038,APR,spring,112
1993APR23,23/4/93,1993,0.052,0.141,0.051,0.032,0.015,APR,spring,113
1993APR24,24/4/93,1993,0.085,0.078,0.039,0.116,0.122,APR,spring,114
1993APR25,25/4/93,1993,0.169,0.027,0.085,0.132,0.119,APR,spring,115
1993APR26,26/4/93,1993,0.126,0.09,0.059,0.148,0.104,APR,spring,116
1993APR27,27/4/93,1993,0.085,0.212,0.095,0.218,0.184,APR,spring,117
1993APR28,28/4/93,1993,0.116,0.209,0.134,0.185,0.141,APR,spring,118
1993APR29,29/4/93,1993,0.066,0.204,0.115,0.172,0.132,APR,spring,119
1993APR30,30/4/93,1993,0.107,0.195,0.118,0.116,0.093,APR,spring,120
1993MAY01,1/5/93,1993,0.049,0.166,0.119,0.113,0.094,MAY,spring,121
1993MAY02,2/5/93,1993,0.071,0.151,0.101,0.133,0.095,MAY,spring,122
1993MAY03,3/5/93,1993,0.047,0.15,0.106,0.098,0.066,MAY,spring,123
1993MAY04,4/5/93,1993,0.054,0.14,0.083,0.079,0.066,MAY,spring,124
1993MAY05,5/5/93,1993,0.055,0.139,0.108,0.102,0.091,MAY,spring,125
1993MAY06,6/5/93,1993,0.111,0.148,0.087,0.158,0.114,MAY,spring,126
1993MAY07,7/5/93,1993,0.057,0.123,0.053,0.147,0.096,MAY,spring,127
1993MAY08,8/5/93,1993,0.097,0.206,0.15,0.073,0.056,MAY,spring,128
1993MAY09,9/5/93,1993,0.137,0.198,0.139,0.077,0.051,MAY,spring,129
1993MAY10,10/5/93,1993,0.065,0.027,0.023,0.159,0.128,MAY,spring,130
1993MAY11,11/5/93,1993,0.01,0.082,0.03,0.142,0.094,MAY,spring,131
1993MAY12,12/5/93,1993,0.057,0.142,0.081,0.08,0.058,MAY,spring,132
1993MAY13,13/5/93,1993,0.064,0.138,0.071,0.072,0.052,MAY,spring,133
1993MAY14,14/5/93,1993,0.016,0.116,0.093,0.074,0.072,MAY,spring,134
1993MAY15,15/5/93,1993,0.052,0.113,0.099,0.138,0.117,MAY,spring,135
1993MAY16,16/5/93,1993,0.139,0.22,0.157,0.081,0.083,MAY,spring,136
1993MAY17,17/5/93,1993,0.106,0.143,0.132,0.145,0.138,MAY,spring,137
1993MAY18,18/5/93,1993,0.047,0.059,0.01,0.213,0.175,MAY,spring,138
1993MAY19,19/5/93,1993,0.041,0.119,0.038,0.078,0.055,MAY,spring,139
1993MAY20,20/5/93,1993,0.035,0.08,0.032,0.035,0.033,MAY,spring,140
1993MAY21,21/5/93,1993,0.036,0.055,0.083,0.077,0.075,MAY,spring,141
1993MAY22,22/5/93,1993,0.074,0.089,0.077,0.073,0.061,MAY,spring,142
1993MAY23,23/5/93,1993,0.045,0.09,0.051,0.082,0.065,MAY,spring,143
1993MAY24,24/5/93,1993,0.051,0.164,0.114,0.101,0.093,MAY,spring,144
1993MAY25,25/5/93,1993,0.033,0.154,0.094,0.121,0.1,MAY,spring,145
1993MAY26,26/5/93,1993,0.011,0.107,0.073,0.139,0.114,MAY,spring,146
1993MAY27,27/5/93,1993,0.015,0.05,0.06,0.156,0.123,MAY,spring,147
1993MAY28,28/5/93,1993,0.082,0.047,0.071,0.059,0.062,MAY,spring,148
1993MAY29,29/5/93,1993,0.088,0.204,0.151,0.062,0.053,MAY,spring,149
1993MAY30,30/5/93,1993,0.116,0.274,0.164,0.101,0.102,MAY,spring,150
1993MAY31,31/5/93,1993,0.057,0.127,0.088,0.114,0.141,MAY,spring,151
1993JUN01,1/6/93,1993,0.007,0.037,0.023,0.161,0.111,JUN,summer,152
1993JUN02,2/6/93,1993,0.011,0.049,0.026,0.099,0.082,JUN,summer,153
1993JUN03,3/6/93,1993,0.03,0.092,0.021,0.091,0.082,JUN,summer,154
1993JUN04,4/6/93,1993,0.037,0.087,0.023,0.16,0.139,JUN,summer,155
1993JUN05,5/6/93,1993,0.043,0.117,0.076,0.12,0.094,JUN,summer,156
1993JUN06,6/6/93,1993,0.089,0.184,0.133,0.073,0.04,JUN,summer,157
1993JUN07,7/6/93,1993,0.029,0.059,0.04,0.254,0.229,JUN,summer,158
1993JUN08,8/6/93,1993,0.025,0.083,0.071,0.266,0.215,JUN,summer,159
1993JUN09,9/6/93,1993,0.062,0.103,0.081,0.254,0.195,JUN,summer,160
1993JUN10,10/6/93,1993,0.034,0.082,0.06,0.206,0.138,JUN,summer,161
1993JUN11,11/6/93,1993,0.058,0.065,0.041,0.265,0.181,JUN,summer,162
1993JUN12,12/6/93,1993,0.038,0.063,0.092,0.281,0.234,JUN,summer,163
1993JUN13,13/6/93,1993,0.101,0.228,0.173,0.237,0.205,JUN,summer,164
1993JUN14,14/6/93,1993,0.083,0.17,0.13,0.285,0.242,JUN,summer,165
1993JUN15,15/6/93,1993,0.042,0.158,0.088,0.374,0.313,JUN,summer,166
1993JUN16,16/6/93,1993,0.028,0.081,0.061,0.275,0.224,JUN,summer,167
1993JUN17,17/6/93,1993,0.019,0.052,0.011,0.25,0.215,JUN,summer,168
1993JUN18,18/6/93,1993,0.013,0.091,0.055,0.199,0.153,JUN,summer,169
1993JUN19,19/6/93,1993,0.032,0.056,0.055,0.071,0.05,JUN,summer,170
1993JUN20,20/6/93,1993,0.112,0.153,0.14,0.068,0.081,JUN,summer,171
1993JUN21,21/6/93,1993,0.095,0.181,0.127,0.093,0.072,JUN,summer,172
1993JUN22,22/6/93,1993,0.097,0.215,0.165,0.119,0.084,JUN,summer,173
1993JUN23,23/6/93,1993,0.047,0.208,0.133,0.065,0.066,JUN,summer,174
1993JUN24,24/6/93,1993,0.008,0.073,0.016,0.031,0.035,JUN,summer,175
1993JUN25,25/6/93,1993,0.032,0.093,0.073,0.029,0.047,JUN,summer,176
1993JUN26,26/6/93,1993,NaN,NaN,NaN,NaN,NaN,JUN,summer,177
1993JUN27,27/6/93,1993,0.029,0.06,0.056,0.026,0.068,JUN,summer,178
1993JUN28,28/6/93,1993,0.054,0.089,0.09,0.107,0.138,JUN,summer,179
1993JUN29,29/6/93,1993,0.055,0.113,0.141,0.144,0.17,JUN,summer,180
1993JUN30,30/6/93,1993,0.04,0.027,0.046,0.062,0.095,JUN,summer,181
1993JUL01,1/7/93,1993,0.025,0.064,0.02,0.06,0.087,JUL,summer,182
1993JUL02,2/7/93,1993,0.052,0.137,0.092,0.094,0.124,JUL,summer,183
1993JUL03,3/7/93,1993,0.022,0.06,0.051,0.176,0.203,JUL,summer,184
1993JUL04,4/7/93,1993,0.006,0.025,0.017,0.115,0.158,JUL,summer,185
1993JUL05,5/7/93,1993,0.03,0.05,0.055,0.062,0.093,JUL,summer,186
1993JUL06,6/7/93,1993,0.031,0.1,0.041,0.086,0.103,JUL,summer,187
1993JUL07,7/7/93,1993,0.011,0.057,0.022,0.104,0.119,JUL,summer,188
1993JUL08,8/7/93,1993,0.016,0.124,0.04,0.038,0.05,JUL,summer,189
1993JUL09,9/7/93,1993,0.026,0.15,0.095,0.062,0.069,JUL,summer,190
1993JUL10,10/7/93,1993,0.045,0.138,0.073,0.138,0.124,JUL,summer,191
1993JUL11,11/7/93,1993,0.066,0.035,0.018,0.048,0.041,JUL,summer,192
1993JUL12,12/7/93,1993,0.082,0.066,0.041,0.108,0.094,JUL,summer,193
1993JUL13,13/7/93,1993,0.028,0.004,0.026,0.079,0.059,JUL,summer,194
1993JUL14,14/7/93,1993,0.035,0.158,0.117,0.065,0.05,JUL,summer,195
1993JUL15,15/7/93,1993,0.033,0.112,0.025,0.066,0.06,JUL,summer,196
1993JUL16,16/7/93,1993,0.045,0.025,0.021,0.072,0.054,JUL,summer,197
1993JUL17,17/7/93,1993,0.032,0.102,0.1,0.063,0.059,JUL,summer,198
1993JUL18,18/7/93,1993,0.012,0.032,0.025,0.128,0.119,JUL,summer,199
1993JUL19,19/7/93,1993,0.064,0.023,0.026,0.084,0.085,JUL,summer,200
1993JUL20,20/7/93,1993,0.108,0.12,0.078,0.093,0.1,JUL,summer,201
1993JUL21,21/7/93,1993,0.063,0.113,0.106,0.094,0.093,JUL,summer,202
1993JUL22,22/7/93,1993,0.005,0.06,0.049,0.093,0.088,JUL,summer,203
1993JUL23,23/7/93,1993,0.039,0.062,0.027,0.205,0.205,JUL,summer,204
1993JUL24,24/7/93,1993,0.132,0.073,0.059,0.208,0.2,JUL,summer,205
1993JUL25,25/7/93,1993,0.096,0.087,0.082,0.205,0.186,JUL,summer,206
1993JUL26,26/7/93,1993,0.106,0.081,0.089,0.184,0.171,JUL,summer,207
1993JUL27,27/7/93,1993,0.055,0.029,0.065,0.109,0.062,JUL,summer,208
1993JUL28,28/7/93,1993,0.071,0.053,0.089,0.16,0.086,JUL,summer,209
1993JUL29,29/7/93,1993,0.075,0.079,0.065,0.2,0.151,JUL,summer,210
1993JUL30,30/7/93,1993,0.084,0.06,0.077,0.144,0.116,JUL,summer,211
1993JUL31,31/7/93,1993,0.07,0.066,0.081,0.118,0.09,JUL,summer,212
1993AUG01,1/8/93,1993,0.097,0.058,0.065,0.215,0.171,AUG,summer,213
1993AUG02,2/8/93,1993,0.046,0.033,0.031,0.204,0.169,AUG,summer,214
1993AUG03,3/8/93,1993,0.026,0.063,0.082,0.217,0.178,AUG,summer,215
1993AUG04,4/8/93,1993,0.043,0.067,0.045,0.252,0.199,AUG,summer,216
1993AUG05,5/8/93,1993,0.074,0.017,0.025,0.208,0.17,AUG,summer,217
1993AUG06,6/8/93,1993,0.108,0.105,0.089,0.177,0.147,AUG,summer,218
1993AUG07,7/8/93,1993,0.109,0.069,0.071,0.174,0.156,AUG,summer,219
1993AUG08,8/8/93,1993,0.072,0.035,0.062,0.18,0.158,AUG,summer,220
1993AUG09,9/8/93,1993,0.071,0.013,0.024,0.138,0.106,AUG,summer,221
