Time,date,Year,Delma,RasGhanada,Saadiyat,AlAqah,Dibba,month,season,yearday
1993JAN14,14/1/93,1993,90.128,89.677,89.88,91.597,91.681,JAN,winter,14
1993JAN15,15/1/93,1993,90.139,89.731,89.879,91.734,91.626,JAN,winter,15
1993JAN16,16/1/93,1993,90.518,89.599,89.876,88.276,88.444,JAN,winter,16
1993JAN17,17/1/93,1993,90,89.153,89.675,88.551,88.587,JAN,winter,17
1993JAN18,18/1/93,1993,89.97,89.624,89.795,91.612,91.796,JAN,winter,18
1993JAN19,19/1/93,1993,89.719,89.532,89.68,88.184,88.393,JAN,winter,19
1993JAN20,20/1/93,1993,89.829,89.673,89.807,88.4,88.512,JAN,winter,20
1993JAN21,21/1/93,1993,90.008,89.701,89.825,91.551,91.774,JAN,winter,21
1993JAN22,22/1/93,1993,90.228,89.697,89.871,92.897,88.07,JAN,winter,22
1993JAN23,23/1/93,1993,90.809,89.957,90.048,88.453,88.547,JAN,winter,23
1993JAN24,24/1/93,1993,90.123,89.694,89.78,88.702,88.666,JAN,winter,24
1993JAN25,25/1/93,1993,90.165,89.707,89.84,88.464,88.616,JAN,winter,25
1993JAN26,26/1/93,1993,89.933,89.624,89.739,88.446,88.638,JAN,winter,26
1993JAN27,27/1/93,1993,90.846,89.74,89.847,88.391,88.659,JAN,winter,27
1993JAN28,28/1/93,1993,89.551,89.706,89.645,88.484,88.71,JAN,winter,28
1993JAN29,29/1/93,1993,89.197,89.926,89.612,88.581,88.792,JAN,winter,29
1993JAN30,30/1/93,1993,91.19,91.208,89.6,88.461,88.765,JAN,winter,30
1993JAN31,31/1/93,1993,87.993,92.609,92.985,88.548,88.529,JAN,winter,31
1993FEB01,1/2/93,1993,87.118,87.017,87.776,88.395,88.44,FEB,winter,32
1993FEB02,2/2/93,1993,87.502,92.73,92.467,88.462,88.47,FEB,winter,33
1993FEB03,3/2/93,1993,87.531,92.96,93.076,88.387,88.385,FEB,winter,34
1993FEB04,4/2/93,1993,91.107,89.131,89.469,88.483,88.538,FEB,winter,35
1993FEB05,5/2/93,1993,90.983,89.577,89.718,88.529,88.577,FEB,winter,36
1993FEB06,6/2/93,1993,91.683,91.585,90.822,88.491,88.705,FEB,winter,37
1993FEB07,7/2/93,1993,90.822,92.296,92.389,88.558,88.777,FEB,winter,38
1993FEB08,8/2/93,1993,89.666,89.667,89.901,88.635,88.79,FEB,winter,39
1993FEB09,9/2/93,1993,89.755,89.618,89.726,88.616,88.749,FEB,winter,40
1993FEB10,10/2/93,1993,90,90.069,89.738,88.618,88.685,FEB,winter,41
1993FEB11,11/2/93,1993,89.647,91.406,89.803,88.598,88.779,FEB,winter,42
1993FEB12,12/2/93,1993,89.104,92.41,92.053,88.603,88.698,FEB,winter,43
1993FEB13,13/2/93,1993,92.232,92.403,92.044,88.547,88.608,FEB,winter,44
1993FEB14,14/2/93,1993,89.028,92.806,91.945,88.445,88.525,FEB,winter,45
1993FEB15,15/2/93,1993,87.73,92.489,92.299,88.627,88.784,FEB,winter,46
1993FEB16,16/2/93,1993,90.662,91.026,90.146,89.014,89.224,FEB,winter,47
1993FEB17,17/2/93,1993,90.41,89.764,89.951,89.026,89.083,FEB,winter,48
1993FEB18,18/2/93,1993,89.849,89.709,89.867,88.818,88.832,FEB,winter,49
1993FEB19,19/2/93,1993,89.472,89.942,89.932,88.641,88.635,FEB,winter,50
1993FEB20,20/2/93,1993,88.524,92.845,92.302,88.753,88.831,FEB,winter,51
1993FEB21,21/2/93,1993,88.37,92.732,92.554,88.729,88.923,FEB,winter,52
1993FEB22,22/2/93,1993,91.554,86.96,90,88.736,88.897,FEB,winter,53
1993FEB23,23/2/93,1993,89.151,92.078,91.651,90.709,90.688,FEB,winter,54
1993FEB24,24/2/93,1993,90.249,89.728,89.832,90.809,90.873,FEB,winter,55
1993FEB25,25/2/93,1993,89.99,89.49,89.712,89.171,88.612,FEB,winter,56
1993FEB26,26/2/93,1993,90.326,89.7,89.824,88.624,88.663,FEB,winter,57
1993FEB27,27/2/93,1993,90.326,89.563,89.783,90.896,91.488,FEB,winter,58
1993FEB28,28/2/93,1993,89.405,89.379,89.581,91.967,92.592,FEB,winter,59
1993MAR01,1/3/93,1993,88.692,89.699,89.876,88.391,88.049,MAR,spring,60
1993MAR02,2/3/93,1993,88.909,90.121,89.781,91.951,87.596,MAR,spring,61
1993MAR03,3/3/93,1993,88.454,93.017,92.856,87.229,88.102,MAR,spring,62
1993MAR04,4/3/93,1993,91.599,88.135,89.233,88.353,88.352,MAR,spring,63
1993MAR05,5/3/93,1993,88.416,89.232,89.481,87.973,88.063,MAR,spring,64
1993MAR06,6/3/93,1993,87.838,88.118,88.87,88.448,88.404,MAR,spring,65
1993MAR07,7/3/93,1993,87.134,87.322,87.295,88.525,88.438,MAR,spring,66
1993MAR08,8/3/93,1993,88.207,92.991,87.004,88.429,88.371,MAR,spring,67
1993MAR09,9/3/93,1993,88.483,92.882,92.531,88.5,88.46,MAR,spring,68
1993MAR10,10/3/93,1993,91.703,87.125,89.497,88.646,88.613,MAR,spring,69
1993MAR11,11/3/93,1993,89.947,89.916,90.068,89.878,89.639,MAR,spring,70
1993MAR12,12/3/93,1993,88.157,91.153,86.891,89.036,89.048,MAR,spring,71
1993MAR13,13/3/93,1993,90.999,89.814,89.873,90.149,90.382,MAR,spring,72
1993MAR14,14/3/93,1993,91.013,89.707,89.986,87.234,87.805,MAR,spring,73
1993MAR15,15/3/93,1993,91.358,89.71,90.059,88.249,88.367,MAR,spring,74
1993MAR16,16/3/93,1993,91.494,89.919,89.917,87.805,88.004,MAR,spring,75
1993MAR17,17/3/93,1993,87.897,92.661,92.702,91.918,92.836,MAR,spring,76
1993MAR18,18/3/93,1993,87.644,92.659,92.726,88.551,88.465,MAR,spring,77
1993MAR19,19/3/93,1993,87.993,92.584,92.198,88.602,88.523,MAR,spring,78
1993MAR20,20/3/93,1993,88.379,92.807,87.644,88.645,88.59,MAR,spring,79
1993MAR21,21/3/93,1993,91.028,90.157,90.11,88.954,88.901,MAR,spring,80
1993MAR22,22/3/93,1993,89.501,89.625,89.786,88.946,88.928,MAR,spring,81
1993MAR23,23/3/93,1993,90.054,89.8,89.902,88.989,88.883,MAR,spring,82
1993MAR24,24/3/93,1993,90.089,89.601,89.767,88.698,88.685,MAR,spring,83
1993MAR25,25/3/93,1993,90.045,89.567,89.807,88.674,88.647,MAR,spring,84
1993MAR26,26/3/93,1993,88.473,89.43,89.654,88.784,88.7,MAR,spring,85
1993MAR27,27/3/93,1993,87.427,92.44,92.37,88.535,88.478,MAR,spring,86
1993MAR28,28/3/93,1993,89.651,92.414,92.165,88.589,88.508,MAR,spring,87
1993MAR29,29/3/93,1993,89.663,89.536,90.245,88.69,88.588,MAR,spring,88
1993MAR30,30/3/93,1993,91.09,89.641,89.974,88.589,88.632,MAR,spring,89
1993MAR31,31/3/93,1993,90.236,89.879,90.05,88.712,88.873,MAR,spring,90
1993APR01,1/4/93,1993,89.09,92.464,92.214,88.679,88.693,APR,spring,91
1993APR02,2/4/93,1993,88.923,92.153,91.446,88.628,88.646,APR,spring,92
1993APR03,3/4/93,1993,88.526,92.953,88.751,88.68,88.749,APR,spring,93
1993APR04,4/4/93,1993,88.775,92.342,91.72,88.618,88.693,APR,spring,94
1993APR05,5/4/93,1993,92.138,90.512,90.523,88.691,88.756,APR,spring,95
1993APR06,6/4/93,1993,88.598,89.832,89.939,88.679,88.787,APR,spring,96
1993APR07,7/4/93,1993,88.267,92.751,87.644,88.487,88.604,APR,spring,97
1993APR08,8/4/93,1993,88.067,92.659,92.542,88.657,88.731,APR,spring,98
1993APR09,9/4/93,1993,88.881,92.129,91.826,89.536,89.765,APR,spring,99
1993APR10,10/4/93,1993,88.429,91.301,92.034,88.646,88.724,APR,spring,100
1993APR11,11/4/93,1993,87.524,92.433,91.992,88.505,88.639,APR,spring,101
1993APR12,12/4/93,1993,88.132,92.37,92.363,88.445,88.502,APR,spring,102
1993APR13,13/4/93,1993,89.527,89.836,89.86,89.297,89.458,APR,spring,103
1993APR14,14/4/93,1993,89.196,89.952,89.667,89.81,89.55,APR,spring,104
1993APR15,15/4/93,1993,89.678,89.789,89.801,88.581,88.636,APR,spring,105
1993APR16,16/4/93,1993,89.941,89.745,89.87,88.633,88.704,APR,spring,106
1993APR17,17/4/93,1993,89.215,92.678,92.034,88.582,88.874,APR,spring,107
1993APR18,18/4/93,1993,87.035,92.556,92.423,89.099,89.914,APR,spring,108
1993APR19,19/4/93,1993,87.378,92.608,92.047,90.649,90.672,APR,spring,109
1993APR20,20/4/93,1993,88.009,92.628,92.007,91.371,91.591,APR,spring,110
1993APR21,21/4/93,1993,87.786,92.832,92.182,91.637,92.976,APR,spring,111
1993APR22,22/4/93,1993,88.318,92.738,92.187,91.955,92.07,APR,spring,112
1993APR23,23/4/93,1993,87.793,92.678,92.494,91.664,91.768,APR,spring,113
1993APR24,24/4/93,1993,88.988,92.787,89.949,88.628,88.594,APR,spring,114
1993APR25,25/4/93,1993,88.948,87.085,90.154,88.761,88.825,APR,spring,115
1993APR26,26/4/93,1993,88.822,92.498,91.554,88.738,88.845,APR,spring,116
1993APR27,27/4/93,1993,87.311,92.718,92.498,88.604,88.687,APR,spring,117
1993APR28,28/4/93,1993,87.024,92.523,92.128,88.619,88.814,APR,spring,118
1993APR29,29/4/93,1993,86.996,92.722,92.522,88.528,88.667,APR,spring,119
1993APR30,30/4/93,1993,87.491,92.609,92.398,88.874,89.184,APR,spring,120
1993MAY01,1/5/93,1993,87.35,92.399,92.261,88.956,89.222,MAY,spring,121
1993MAY02,2/5/93,1993,87.865,92.666,92.678,88.775,88.997,MAY,spring,122
1993MAY03,3/5/93,1993,87.614,92.672,92.691,88.861,89.247,MAY,spring,123
1993MAY04,4/5/93,1993,87.815,92.601,92.484,89.242,89.645,MAY,spring,124
1993MAY05,5/5/93,1993,88.52,92.572,92.574,89.312,89.581,MAY,spring,125
1993MAY06,6/5/93,1993,88.136,92.693,92.627,88.765,89.046,MAY,spring,126
1993MAY07,7/5/93,1993,88.768,92.987,92.856,88.641,88.823,MAY,spring,127
1993MAY08,8/5/93,1993,89.823,89.454,89.536,89.635,90.288,MAY,spring,128
1993MAY09,9/5/93,1993,89.215,89.6,89.776,89.372,89.27,MAY,spring,129
1993MAY10,10/5/93,1993,89.236,89.773,89.734,88.797,88.721,MAY,spring,130
1993MAY11,11/5/93,1993,88.627,92.766,87.201,88.88,89.132,MAY,spring,131
1993MAY12,12/5/93,1993,87.807,92.738,92.828,89.241,89.776,MAY,spring,132
1993MAY13,13/5/93,1993,88.008,92.62,92.487,89.674,90.194,MAY,spring,133
1993MAY14,14/5/93,1993,87.464,92.332,92.548,90.824,91.107,MAY,spring,134
1993MAY15,15/5/93,1993,91.237,91.704,91.998,91.088,91.184,MAY,spring,135
1993MAY16,16/5/93,1993,89.462,89.608,89.769,89.725,89.223,MAY,spring,136
1993MAY17,17/5/93,1993,89.741,89.404,89.611,89.161,88.961,MAY,spring,137
1993MAY18,18/5/93,1993,89.064,92.67,91.064,88.819,88.834,MAY,spring,138
1993MAY19,19/5/93,1993,88.627,92.64,92.152,88.95,89.15,MAY,spring,139
1993MAY20,20/5/93,1993,91.457,92.445,90.606,90.54,90.437,MAY,spring,140
1993MAY21,21/5/93,1993,90.464,89.873,90.024,89.224,89.271,MAY,spring,141
1993MAY22,22/5/93,1993,88.923,89.39,89.764,89.263,89.448,MAY,spring,142
1993MAY23,23/5/93,1993,88.363,89.097,89.423,89.232,89.378,MAY,spring,143
1993MAY24,24/5/93,1993,89.554,89.553,89.806,90.03,90.363,MAY,spring,144
1993MAY25,25/5/93,1993,89.429,89.703,89.83,90.243,90.306,MAY,spring,145
1993MAY26,26/5/93,1993,90.18,89.666,89.652,89.552,89.517,MAY,spring,146
1993MAY27,27/5/93,1993,91.438,90.264,89.694,89.023,89.128,MAY,spring,147
1993MAY28,28/5/93,1993,91.091,89.979,89.772,90.204,90.521,MAY,spring,148
1993MAY29,29/5/93,1993,90.023,89.64,89.794,90.276,89.925,MAY,spring,149
1993MAY30,30/5/93,1993,89.887,89.7,89.798,90.01,89.66,MAY,spring,150
1993MAY31,31/5/93,1993,89.607,89.456,89.675,89.339,89.043,MAY,spring,151
1993JUN01,1/6/93,1993,90.278,89.585,89.124,88.851,88.97,JUN,summer,152
1993JUN02,2/6/93,1993,87.125,89.446,88.619,89.065,89.249,JUN,summer,153
1993JUN03,3/6/93,1993,88.529,89.713,88.828,89.253,89.388,JUN,summer,154
1993JUN04,4/6/93,1993,92.395,90.012,89.595,88.854,88.915,JUN,summer,155
1993JUN05,5/6/93,1993,91.034,90,90.119,89.073,89.252,JUN,summer,156
1993JUN06,6/6/93,1993,89.842,89.502,89.664,89.108,89.267,JUN,summer,157
1993JUN07,7/6/93,1993,89.046,89.544,89.749,88.737,88.704,JUN,summer,158
1993JUN08,8/6/93,1993,92.936,92.537,92.64,88.691,88.766,JUN,summer,159
1993JUN09,9/6/93,1993,86.875,92.543,92.695,88.729,88.886,JUN,summer,160
1993JUN10,10/6/93,1993,92.652,92.513,92.715,88.729,88.997,JUN,summer,161
1993JUN11,11/6/93,1993,91.271,92.643,93.044,88.562,88.697,JUN,summer,162
1993JUN12,12/6/93,1993,90.264,89.372,89.62,88.71,88.843,JUN,summer,163
1993JUN13,13/6/93,1993,89.97,89.593,89.873,88.946,89.135,JUN,summer,164
1993JUN14,14/6/93,1993,90.207,89.51,89.703,88.799,88.93,JUN,summer,165
1993JUN15,15/6/93,1993,90.071,89.604,89.758,88.711,88.785,JUN,summer,166
1993JUN16,16/6/93,1993,89.189,90.086,89.767,88.716,88.847,JUN,summer,167
1993JUN17,17/6/93,1993,90,91.764,92.962,88.713,88.801,JUN,summer,168
1993JUN18,18/6/93,1993,89.267,92.263,92.407,88.956,89.228,JUN,summer,169
1993JUN19,19/6/93,1993,90.093,90.054,89.463,89.58,90.303,JUN,summer,170
1993JUN20,20/6/93,1993,90.347,89.574,89.732,90.682,91.135,JUN,summer,171
1993JUN21,21/6/93,1993,90.053,89.586,89.81,90.483,90.557,JUN,summer,172
1993JUN22,22/6/93,1993,89.948,89.522,89.786,90.464,90.314,JUN,summer,173
1993JUN23,23/6/93,1993,90.172,89.532,89.695,89.605,89.311,JUN,summer,174
1993JUN24,24/6/93,1993,90.519,89.973,87.773,89.84,89.498,JUN,summer,175
1993JUN25,25/6/93,1993,92.65,92.227,92.733,89.645,89.259,JUN,summer,176
1993JUN26,26/6/93,1993,NaN,NaN,NaN,NaN,NaN,JUN,summer,177
1993JUN27,27/6/93,1993,87.369,91.739,92.702,88.239,88.503,JUN,summer,178
1993JUN28,28/6/93,1993,92.843,92.34,92.728,88.202,88.429,JUN,summer,179
1993JUN29,29/6/93,1993,92.941,92.394,92.615,88.353,88.488,JUN,summer,180
1993JUN30,30/6/93,1993,91.979,92.034,92.875,88.153,88.567,JUN,summer,181
1993JUL01,1/7/93,1993,88.839,89.938,88.172,88.123,88.638,JUL,summer,182
1993JUL02,2/7/93,1993,89.407,89.586,89.346,88.525,88.774,JUL,summer,183
1993JUL03,3/7/93,1993,89.055,90.017,89.396,88.566,88.612,JUL,summer,184
1993JUL04,4/7/93,1993,92.246,92.034,87.858,88.64,88.673,JUL,summer,185
1993JUL05,5/7/93,1993,90.374,89.272,89.357,88.674,88.792,JUL,summer,186
1993JUL06,6/7/93,1993,89.35,89.278,89.249,88.581,88.775,JUL,summer,187
1993JUL07,7/7/93,1993,92.554,89.14,87.422,88.525,88.623,JUL,summer,188
1993JUL08,8/7/93,1993,90.261,89.439,89.267,89.595,89.412,JUL,summer,189
1993JUL09,9/7/93,1993,90.31,89.617,89.579,89.112,89.452,JUL,summer,190
1993JUL10,10/7/93,1993,89.418,89.796,89.579,89.065,89.226,JUL,summer,191
1993JUL11,11/7/93,1993,88.074,89.797,88.82,89.348,89.439,JUL,summer,192
1993JUL12,12/7/93,1993,92.434,92.897,86.931,88.751,88.764,JUL,summer,193
1993JUL13,13/7/93,1993,87.226,88.429,89.08,88.739,88.832,JUL,summer,194
1993JUL14,14/7/93,1993,90.259,89.5,89.697,89.039,88.866,JUL,summer,195
1993JUL15,15/7/93,1993,89.215,89.616,89.96,90.183,90.509,JUL,summer,196
1993JUL16,16/7/93,1993,92.578,90.446,87.407,90.588,90.655,JUL,summer,197
1993JUL17,17/7/93,1993,90.492,89.563,89.478,89.203,88.794,JUL,summer,198
1993JUL18,18/7/93,1993,89.573,90.852,91.611,88.763,88.693,JUL,summer,199
1993JUL19,19/7/93,1993,92.889,93.098,92.989,88.888,88.777,JUL,summer,200
1993JUL20,20/7/93,1993,93.021,92.656,92.621,88.946,88.83,JUL,summer,201
1993JUL21,21/7/93,1993,92.9,92.294,92.457,89.297,89.298,JUL,summer,202
1993JUL22,22/7/93,1993,87.502,89.491,89.287,89.661,89.664,JUL,summer,203
1993JUL23,23/7/93,1993,86.986,89.755,89.586,88.858,88.819,JUL,summer,204
1993JUL24,24/7/93,1993,87.142,93.06,86.858,88.778,88.772,JUL,summer,205
1993JUL25,25/7/93,1993,87.792,92.595,92.882,88.847,88.91,JUL,summer,206
1993JUL26,26/7/93,1993,92.805,92.656,92.799,88.915,89.04,JUL,summer,207
1993JUL27,27/7/93,1993,92.768,92.003,86.905,88.67,88.914,JUL,summer,208
1993JUL28,28/7/93,1993,92.703,92.343,86.926,88.298,88.36,JUL,summer,209
1993JUL29,29/7/93,1993,92.858,92.684,93.002,88.555,88.738,JUL,summer,210
1993JUL30,30/7/93,1993,92.986,92.238,92.771,88.952,89.142,JUL,summer,211
1993JUL31,31/7/93,1993,86.972,92.671,87.07,89.257,89.541,JUL,summer,212
1993AUG01,1/8/93,1993,92.66,92.221,93.08,88.882,89.053,AUG,summer,213
1993AUG02,2/8/93,1993,87.166,92.356,87.553,88.93,89.144,AUG,summer,214
1993AUG03,3/8/93,1993,89.188,89.658,89.415,88.827,89.031,AUG,summer,215
1993AUG04,4/8/93,1993,87.363,89.82,89.615,88.666,88.767,AUG,summer,216
1993AUG05,5/8/93,1993,87.322,88.07,88.875,88.717,88.827,AUG,summer,217
1993AUG06,6/8/93,1993,87.565,92.622,92.749,88.804,88.917,AUG,summer,218
1993AUG07,7/8/93,1993,87.429,86.99,87.278,88.888,89.019,AUG,summer,219
1993AUG08,8/8/93,1993,86.955,88.458,87.872,89.037,89.147,AUG,summer,220
1993AUG09,9/8/93,1993,86.858,92.304,92.753,89.179,89.288,AUG,summer,221
